evidencia_id,origem,rodada,claim_ou_campo,framework,dimensao,unidade,documento_id,evidencia,forca,confianca,status
EV-8a4ad69b20,strategic_analysis,r1,Posicionar o app como diagnostico ou tratamento de TDAH pode acionar o regime de Software como Dispositivo Medico da Anvisa.,SA-01,legal_regulatory,ECO-01,DOC-C07-009,Fonte SRC-RG8-ANVISA-SAMD no dashboard: 'RDC 657/2022 - Software como Dispositivo Medico... Enquadramento SaMD depende da indicacao e funcao; software que diagnostica/trata pode entrar no regime regulatorio.',strong,0.9,fact
EV-495a2f033b,strategic_analysis,r1,"Coletar diagnostico de TDAH no onboarding transformaria a base em dado pessoal sensivel sob a LGPD, sem necessidade funcional.",SA-01,legal_regulatory,ECO-01,DOC-C07-009,Fonte SRC-RG8-ANPD-LGPD: 'Dado referente a saude e dado pessoal sensivel; minimizacao favorece nao coletar diagnostico quando desnecessario.' Decisao ICP-01: 'diagnostico nao define o ICP comercial inicial'.,strong,0.9,fact
EV-de94db3e25,strategic_analysis,r1,A politica de claims proibe hoje seis formulacoes clinicas no conteudo editorial e comercial.,SA-01,legal_regulatory,ECO-02,DOC-C07-009,"claims_policy.prohibited_now: 'Reduz sintomas de TDAH', 'Melhora funcao executiva clinicamente', 'Trata TDAH', 'Diagnostica ou identifica TDAH', 'Substitui terapia, tratamento ou medicacao', 'Cientificamente comprovado para TDAH'.",strong,0.9,fact
EV-f04a701f8e,strategic_analysis,r1,Qualquer estudo proprio de eficacia com participantes humanos fica sujeito a Resolucao CNS 466/2012.,SA-01,ethical,ECO-03,DOC-C07-009,"Fonte SRC-RG8-CNS-466: 'Resolucao CNS 466/2012'; decisao EFFICACY-01 exige 'protocolo proprio, diagnostico confirmado, instrumento validado, comparador e revisao etica aplicavel'.",strong,0.85,fact
EV-69f96afd6b,strategic_analysis,r1,Qualquer estudo proprio de eficacia com participantes humanos fica sujeito a Resolucao CNS 466/2012.,SA-01,ethical,ECO-03,DOC-C02-015,"Fonte SRC-RG8-CNS-466: 'Resolucao CNS 466/2012'; decisao EFFICACY-01 exige 'protocolo proprio, diagnostico confirmado, instrumento validado, comparador e revisao etica aplicavel'.",strong,0.85,fact
EV-a783716a71,strategic_analysis,r1,"O Brasil tinha 26,1 milhoes de trabalhadores por conta propria em 2025, contexto do ICP de profissionais independentes.",SA-01,social,ECO-01,DOC-C07-009,"Finding BRA-MKT-01, fonte SRC-RG8-IBGE-SELFEMPLOYED-2025 (PNAD Continua): '26,1 milhoes de trabalhadores por conta propria em 2025'. Uso declarado: 'Contexto de mercado; nao equivale a TAM do EXECUTAR.'",strong,0.9,fact
EV-147350e17f,strategic_analysis,r1,"O acesso a internet no Brasil e majoritariamente movel, sustentando arquitetura mobile-first.",SA-01,technological,ECO-01,DOC-C07-009,"Finding BRA-MOBILE-01 (IBGE 2025): '90,5% da populacao de 10+ usava internet e 98,7% dos usuarios acessavam por celular'. Uso: 'Sustenta estrategia mobile-first; nao prova preferencia especifica do ICP.'",strong,0.85,fact
EV-161a0a642b,strategic_analysis,r1,"Ha estimativas internacionais de carga economica excedente associada ao TDAH adulto que sustentam o problema, mas nao sao perda individual.",SA-01,economic,ECO-03,DOC-C02-021,"RC-003: 'US$ 14.092 de custo excedente por adulto/ano'; RC-004: 'EUR 15.652 por adulto diagnosticado/ano'; guardrail: 'valor e carga economica/social media, nao perda literal individual'.",strong,0.85,fact
EV-eb5f8c5c02,strategic_analysis,r1,"Ha estimativas internacionais de carga economica excedente associada ao TDAH adulto que sustentam o problema, mas nao sao perda individual.",SA-01,economic,ECO-03,DOC-C02-032,"RC-003: 'US$ 14.092 de custo excedente por adulto/ano'; RC-004: 'EUR 15.652 por adulto diagnosticado/ano'; guardrail: 'valor e carga economica/social media, nao perda literal individual'.",strong,0.85,fact
EV-dd70afc2df,strategic_analysis,r1,"Ha estimativas internacionais de carga economica excedente associada ao TDAH adulto que sustentam o problema, mas nao sao perda individual.",SA-01,economic,ECO-03,DOC-C02-043,"RC-003: 'US$ 14.092 de custo excedente por adulto/ano'; RC-004: 'EUR 15.652 por adulto diagnosticado/ano'; guardrail: 'valor e carga economica/social media, nao perda literal individual'.",strong,0.85,fact
